prompt_index,original_row_index,target_class,target_rank_by_votes,target_class_votes,representative_shard_index,position,clean_token_id,clean_votes,target_token_id,target_votes,active_position,dpa_target_radius
0,0,language-detection-server-detect,1,100,9,0,53198,448,53198,448,0,0
0,0,language-detection-server-detect,1,100,9,1,609,482,609,482,0,0
0,0,language-detection-server-detect,1,100,9,2,794,481,794,481,0,0
0,0,language-detection-server-detect,1,100,9,3,330,481,330,481,0,0
0,0,language-detection-server-detect,1,100,9,4,36771,382,11789,100,1,140
0,0,language-detection-server-detect,1,100,9,5,27396,380,1773,100,1,139
0,0,language-detection-server-detect,1,100,9,6,23304,380,23076,100,1,139
0,0,language-detection-server-detect,1,100,9,7,85981,380,27396,100,1,139
0,0,language-detection-server-detect,1,100,9,8,498,379,1773,100,1,139
0,0,language-detection-server-detect,1,100,9,9,330,380,13478,100,1,139
0,0,language-detection-server-detect,1,100,9,10,16774,380,498,100,1,139
0,0,language-detection-server-detect,1,100,9,11,794,379,330,100,1,139
0,0,language-detection-server-detect,1,100,9,12,53198,316,16774,100,1,107
0,0,language-detection-server-detect,1,100,9,13,1178,344,794,100,1,121
0,0,language-detection-server-detect,1,100,9,14,794,344,330,30,1,156
0,0,language-detection-server-detect,1,100,9,15,330,344,13922,29,1,157
0,0,language-detection-server-detect,1,100,9,16,10589,344,1342,29,1,157
0,0,language-detection-server-detect,1,100,9,17,48074,344,1232,29,1,157
0,0,language-detection-server-detect,1,100,9,18,1506,344,364,30,1,156
0,0,language-detection-server-detect,1,100,9,19,9388,219,10589,29,1,94
0,0,,2,18,19,0,53198,448,100257,18,1,214
0,0,,2,18,19,1,609,482,,18,1,231
0,0,,2,18,19,2,794,481,,18,1,231
0,0,,2,18,19,3,330,481,,18,1,231
0,0,,2,18,19,4,36771,382,,18,1,181
0,0,,2,18,19,5,27396,380,,18,1,180
0,0,,2,18,19,6,23304,380,,18,1,180
0,0,,2,18,19,7,85981,380,,18,1,180
0,0,,2,18,19,8,498,379,,18,1,180
0,0,,2,18,19,9,330,380,,18,1,180
0,0,,2,18,19,10,16774,380,,18,1,180
0,0,,2,18,19,11,794,379,,18,1,180
0,0,,2,18,19,12,53198,316,,18,1,148
0,0,,2,18,19,13,1178,344,,18,1,162
0,0,,2,18,19,14,794,344,,18,1,162
0,0,,2,18,19,15,330,344,,18,1,162
0,0,,2,18,19,16,10589,344,,18,1,162
0,0,,2,18,19,17,48074,344,,18,1,162
0,0,,2,18,19,18,1506,344,,18,1,162
0,0,,2,18,19,19,9388,219,,18,1,100
0,0,dictionary,3,1,402,0,53198,448,53198,448,0,0
0,0,dictionary,3,1,402,1,609,482,609,482,0,0
0,0,dictionary,3,1,402,2,794,481,794,481,0,0
0,0,dictionary,3,1,402,3,330,481,330,481,0,0
0,0,dictionary,3,1,402,4,36771,382,36771,382,0,0
0,0,dictionary,3,1,402,5,27396,380,498,1,1,189
0,0,dictionary,3,1,402,6,23304,380,330,1,1,189
0,0,dictionary,3,1,402,7,85981,380,16774,1,1,189
0,0,dictionary,3,1,402,8,498,379,794,1,1,188
0,0,dictionary,3,1,402,9,330,380,330,380,0,0
0,0,dictionary,3,1,402,10,16774,380,13922,1,1,189
0,0,dictionary,3,1,402,11,794,379,1178,1,1,188
0,0,dictionary,3,1,402,12,53198,316,1232,1,1,157
0,0,dictionary,3,1,402,13,1178,344,364,1,1,171
0,0,dictionary,3,1,402,14,794,344,10589,1,1,171
0,0,dictionary,3,1,402,15,330,344,48074,1,1,171
